provider,region_name,type,metro,country,latitude,longitude,zones
Microsoft Azure,Spain Central (Madrid),Cloud Region,Madrid,Spain,40.420300,-3.705774,3
Oracle Cloud,EU Sovereign South (Madrid),Cloud Region,Madrid,Spain,40.420300,-3.705774,1
Oracle Cloud,Spain Central (Madrid),Cloud Region,Madrid,Spain,40.420300,-3.705774,1
Oracle Cloud,Spain Central (Madrid),Cloud Region,Madrid,Spain,40.420300,-3.705774,1
Amazon Web Services,Europe South (Spain),Cloud Region,Zaragoza,Spain,41.651730,-0.881319,3
Microsoft Azure,Sweden Central (GÃ¤vle),Cloud Region,GÃ¤vle,Sweden,60.673665,17.145600,3
Microsoft Azure,Sweden South (Staffanstorp),Cloud Region,MalmÃ¶,Sweden,55.64214,13.21247,3
Amazon Web Services,Europe North (Stockholm),Cloud Region,Stockholm,Sweden,59.332268,18.062797,3
Google Cloud,Sweden,Cloud Region,Stockholm,Sweden,59.332268,18.062797,3
Oracle Cloud,Sweden Central (Stockholm),Cloud Region,Stockholm,Sweden,59.332268,18.062797,1
Microsoft Azure,Switzerland West (Geneva),Cloud Region,Geneva,Switzerland,46.208358,6.142701,1
Amazon Web Services,Europe (Zurich) ,Cloud Region,ZÃ¼rich,Switzerland,47.377060,8.539550,3
Google Cloud,Zurich,Cloud Region,ZÃ¼rich,Switzerland,47.377060,8.539550,3
Microsoft Azure,Switzerland North (ZÃ¼rich),Cloud Region,ZÃ¼rich,Switzerland,47.377060,8.539550,1
Oracle Cloud,Switzerland North (Zurich),Cloud Region,ZÃ¼rich,Switzerland,47.377060,8.539550,1
Google Cloud,Taiwan,Cloud Region,Taichung,Taiwan,24.0717,120.5624,3
Amazon Web Services,Asia Pacific (Taipei),Cloud Region,Taipei,Taiwan,25.080441,121.564194,3
Microsoft Azure,Taiwan North (Taipei),Cloud Region,Taipei,Taiwan,25.080441,121.564194,3
Alibaba Cloud,Asia Pacific SE 7 (Bangkok),Cloud Region,Bangkok,Thailand,13.753330,100.504822,1
Amazon Web Services,AWS Thailand,Cloud Region,Bangkok,Thailand,13.753330,100.504822,3
Google Cloud,Thailand,Cloud Region,Bangkok,Thailand,13.753330,100.504822,3
